Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-1245b,,0.128,4.35409304,,,transit,2810,0.86,5306,[56]
Kepler-1245c,,0.128,2.93658468,,,transit,2810,0.86,5306,[56]
Kepler-1246b,,0.121,11.32271513,,,transit,1420,0.73,4611,[56]
Kepler-1247b,,0.208,13.71220213,,,transit,3570,0.86,5303,[56]
Kepler-1248b,,0.105,7.46725407,,,transit,1800,1.21,6149,[56]
Kepler-1249b,,0.212,24.3347127,,,transit,5460,1.19,6202,[56]
Kepler-1250b,,0.171,2.60754383,,,transit,4470,0.99,5717,[56]
Kepler-1251b,,0.164,45.0904643,,,transit,2810,0.92,5545,[56]
Kepler-1252b,,0.149,15.0540329,,,transit,2700,1.06,5949,[56]
Kepler-1253b,,0.119,68.8861915,,,transit,1300,0.97,5850,[56]
Kepler-1254b,,0.138,9.99113313,,,transit,2200,0.78,4985,[56]
Kepler-1254c,,0.116,3.60084276,,,transit,2200,0.78,4985,[56]
Kepler-1254d,,0.117,5.72717226,,,transit,2200,0.78,4985,[56]
Kepler-1255b,,0.207,36.2919336,,,transit,4380,1.08,6018,[56]
Kepler-1256b,,0.133,12.4127754,,,transit,2810,1.17,6129,[56]
Kepler-1257b,,0.136,2.66831376,,,transit,3530,0.9,5502,[56]
Kepler-1258b,,0.077,0.98494017,,,transit,2120,0.99,5839,[56]
Kepler-1259b,,0.128,0.66308526,,,transit,2300,0.8,5053,[56]
Kepler-1260b,,0.158,19.1187753,,,transit,3400,1.06,5961,[56]
Kepler-1261b,,0.202,48.4308991,,,transit,2590,0.82,5006,[56]
Kepler-1262b,,0.162,8.67900242,,,transit,3760,0.99,5771,[56]
Kepler-1263b,,0.102,4.55139967,,,transit,2270,0.84,5213,[56]
Kepler-1264b,,0.105,0.96852602,,,transit,2650,0.99,5791,[56]
Kepler-1265b,,0.12,6.49441289,,,transit,1890,0.71,4630,[56]
Kepler-1266b,,0.23,28.474748,,,transit,2940,0.8,5044,[56]
Kepler-1267b,,0.269,13.0313945,,,transit,5310,1.15,6096,[56]
Kepler-1268b,,0.181,40.9903986,,,transit,4590,1.06,5904,[56]
Kepler-1269b,,0.145,37.3331536,,,transit,2300,1.1,5998,[56]
Kepler-1270b,,0.296,6.03356196,,,transit,3930,1.28,5047,[56]
Kepler-1271b,,0.132,3.0255955,,,transit,2890,1.13,6143,[56]
Kepler-1272b,,0.211,51.1309704,,,transit,2920,1.06,5926,[56]
Kepler-1273b,,0.222,28.625653,,,transit,4420,0.94,5566,[56]
Kepler-1274b,,0.127,6.98152703,,,transit,1990,1.45,6179,[56]
Kepler-1275b,,0.132,3.65691115,,,transit,4200,1.23,6296,[56]
Kepler-1276b,,0.106,12.5720095,,,transit,1910,1.14,6188,[56]
Kepler-1277b,,0.143,40.8365012,,,transit,1980,0.94,5578,[56]
Kepler-1278b,,0.09,3.23941344,,,transit,2420,1.11,6074,[56]
Kepler-1279b,,0.156,23.4774101,,,transit,3320,1.21,6221,[56]
Kepler-1280b,,0.167,66.5579057,,,transit,3280,1.2,6227,[56]
Kepler-1281b,,0.146,3.11602791,,,transit,3600,0.87,5353,[56]
Kepler-1282b,,0.138,2.13194651,,,transit,3670,0.92,5504,[56]
Kepler-1283b,,0.17,12.9460978,,,transit,4740,1.16,6175,[56]
Kepler-1284b,,0.108,0.66407381,,,transit,2780,0.84,5123,[56]
Kepler-1285b,,0.087,14.7967458,,,transit,1190,1.2,6170,[56]
Kepler-1286b,,0.192,11.25402929,,,transit,3800,1,5753,[56]
Kepler-1287b,,0.137,11.47685909,,,transit,3350,0.96,5715,[56]
Kepler-1288b,,0.1,2.76122421,,,transit,2330,1.2,6132,[56]
Kepler-1289b,,0.136,7.99019627,,,transit,3450,1.1,6080,[56]
Kepler-1290b,,0.127,4.69500134,,,transit,4310,0.95,5660,[56]
Kepler-1291b,,0.148,8.63043276,,,transit,3200,0.84,5216,[56]
Kepler-1292b,,0.162,3.27646405,,,transit,4590,0.95,5556,[56]
Kepler-1293b,,0.087,5.57654784,,,transit,2500,1.18,6241,[56]
Kepler-1294b,,0.285,115.6862258,,,transit,3700,0.99,5776,[56]
Kepler-1295b,,0.138,3.81371974,,,transit,4100,0.92,5486,[56]
Kepler-1296b,,0.081,8.3839865,,,transit,2060,0.87,5359,[56]
Kepler-1297b,,0.087,1.68189002,,,transit,3250,0.99,5818,[56]
Kepler-1298b,,0.117,7.12811928,,,transit,1620,1.45,6339,[56]
Kepler-1299b,,0.266,19.9400874,,,transit,4410,0.94,5609,[56]
Kepler-1300b,,0.122,22.2419092,,,transit,2470,1.29,6130,[56]
Kepler-1301b,,0.125,9.08237046,,,transit,2660,0.85,5188,[56]
Kepler-1302b,,0.128,8.83922659,,,transit,2370,0.86,5236,[56]
Kepler-1303b,,0.127,7.56127224,,,transit,2950,1.01,5771,[56]
Kepler-1304b,,0.204,16.1288853,,,transit,2220,0.85,5259,[56]
Kepler-1305b,,0.168,13.5630972,,,transit,4380,0.97,5701,[56]
Kepler-1306b,,0.17,16.29595382,,,transit,3700,0.98,5727,[56]
Kepler-1307b,,0.22,18.01621096,,,transit,4550,1.06,5884,[56]
Kepler-1308b,,0.046,2.10433812,,,transit,240,0.35,3468,[56]
Kepler-1309b,,0.211,28.8432647,,,transit,2760,0.85,5235,[56]
Kepler-1310b,,0.128,0.67933627,,,transit,1900,0.91,5549,[56]
Kepler-1311b,,0.111,11.1726994,,,transit,2300,1.05,5748,[56]
Kepler-1311c,,0.109,2.53573424,,,transit,2300,1.05,5748,[56]
Kepler-1312b,,0.187,5.44832529,,,transit,990,0.99,5719,[56]
Kepler-1313b,,0.157,3.83309118,,,transit,610,0.92,5453,[56]
Kepler-1314b,,0.456,5.42474928,,,transit,1510,0.6,4188,[56]
Kepler-1315b,,0.123,0.84338011,,,transit,1650,0.8,4861,[56]
Kepler-1316b,,0.316,87.9732136,,,transit,2460,1.04,5884,[56]
Kepler-1317b,,0.139,0.56887443,,,transit,2390,0.83,5144,[56]
Kepler-1318b,,0.277,213.257663,,,transit,1550,0.73,4598,[56]
Kepler-1319b,,0.12,2.88676265,,,transit,370,0.56,3655,[56]
Kepler-1320b,,0.152,0.86838653,,,transit,2510,0.8,4817,[56]
Kepler-1321b,,0.439,11.12830484,,,transit,1780,0.54,4094,[56]
Kepler-1321c,,0.214,2.22649109,,,transit,1780,0.54,4094,[56]
Kepler-1322b,,0.144,0.96286738,,,transit,3970,0.9,5488,[56]
Kepler-1323b,,0.136,0.92990668,,,transit,1700,1.18,6169,[56]
Kepler-1324b,,0.135,4.11584468,,,transit,1700,0.78,4776,[56]
Kepler-1325b,,0.255,33.8786838,,,transit,3110,0.93,5550,[56]
Kepler-1326b,,0.373,42.3514267,,,transit,3000,1.45,6725,[56]
Kepler-1327b,,0.161,14.88801098,,,transit,2240,1.02,5885,[56]
Kepler-1328b,,0.087,4.52158888,,,transit,2100,1,5780,[56]
Kepler-1329b,,0.194,9.33646594,,,transit,2040,0.72,4500,[56]
Kepler-1330b,,0.147,10.10769068,,,transit,3060,0.97,5608,[56]
Kepler-1331b,,0.094,0.78916165,,,transit,1190,0.72,4508,[56]
Kepler-1332b,,0.122,11.87456832,,,transit,1680,0.95,5581,[56]
Kepler-1333b,,0.251,109.6471842,,,transit,3120,0.94,5628,[56]
Kepler-1334b,,0.204,15.64591713,,,transit,3410,0.94,5614,[56]
Kepler-1335b,,0.129,6.26406846,,,transit,2050,0.77,4903,[56]
Kepler-1336b,,0.177,23.198681,,,transit,2680,0.94,5512,[56]
Kepler-1336c,,0.153,5.77721211,,,transit,2680,0.94,5512,[56]
Kepler-1337b,,0.215,24.4002549,,,transit,1920,0.7,4523,[56]
Kepler-1338b,,0.082,0.93511806,,,transit,2020,1.04,5909,[56]
Kepler-1339b,,0.063,1.34155513,,,transit,870,0.94,5586,[56]
Kepler-1340b,,0.138,0.66502692,,,transit,4630,1.27,6331,[56]
Kepler-1341b,,0.267,132.9968322,,,transit,1520,0.79,4662,[56]
Kepler-1342b,,0.148,2.21571036,,,transit,3070,0.93,5527,[56]
Kepler-1343b,,0.172,3.35183158,,,transit,4260,0.95,5759,[56]
Kepler-1344b,,0.164,4.7683049,,,transit,2780,1.09,5981,[56]
Kepler-1345b,,0.211,44.6169557,,,transit,3800,1.32,6449,[56]
Kepler-1346b,,0.141,3.40165668,,,transit,3660,1.14,6133,[56]
Kepler-1347b,,0.092,14.00947528,,,transit,1050,0.82,5193,[56]
Kepler-1348b,,0.173,27.5722742,,,transit,3370,1.04,5911,[56]
Kepler-1349b,,0.062,2.12823928,,,transit,850,1.16,6086,[56]
Kepler-1350b,,0.225,4.4968604,,,transit,1100,0.55,3827,[56]
Kepler-1350c,,0.154,1.76678906,,,transit,1100,0.55,3827,[56]
Kepler-1351b,,0.058,0.91614077,,,transit,790,0.7,4439,[56]
Kepler-1352b,,0.079,1.87788275,,,transit,2080,1.11,6118,[56]
Kepler-1353b,,0.161,24.7543966,,,transit,1940,0.76,4776,[56]
Kepler-1354b,,0.265,76.613377,,,transit,3450,1.16,6168,[56]
Kepler-1355b,,0.13,1.28958811,,,transit,3140,0.88,5352,[56]
Kepler-1356b,,0.136,0.63400294,,,transit,2870,0.82,5106,[56]
Kepler-1357b,,0.114,3.0091324,,,transit,3350,0.93,5597,[56]
Kepler-1358b,,0.1,7.06317341,,,transit,1820,0.82,5181,[56]
Kepler-1359b,,0.252,59.4970952,,,transit,2180,0.78,4709,[56]
Kepler-1360b,,0.303,40.5286413,,,transit,4580,1.51,6778,[56]
Kepler-1361b,,0.077,3.57554956,,,transit,1320,0.83,5131,[56]
Kepler-1362b,,0.232,136.205626,,,transit,2500,0.8,4857,[56]
Kepler-1363b,,0.112,2.94194094,,,transit,1820,0.76,4839,[56]
Kepler-1364b,,0.192,13.32196237,,,transit,3750,1.49,6805,[56]
Kepler-1365b,,0.082,7.69993485,,,transit,1760,1,5770,[56]
Kepler-1365c,,0.071,4.77468005,,,transit,1760,1,5770,[56]
Kepler-1366b,,0.128,2.16457097,,,transit,1290,0.62,4070,[56]
Kepler-1367b,,0.082,1.57409027,,,transit,1160,0.62,4106,[56]
Kepler-1368b,,0.147,0.67564949,,,transit,5700,1.07,5906,[56]
Kepler-1369b,,0.24,25.873148,,,transit,4030,0.99,5761,[56]
Kepler-1370b,,0.164,20.2641684,,,transit,2860,1.19,6202,[56]
Kepler-1370c,,0.113,7.44142113,,,transit,2860,1.19,6202,[56]
Kepler-1371b,,0.065,3.4462039,,,transit,1500,0.87,5361,[56]
Kepler-1371c,,0.057,2.00541269,,,transit,1500,0.87,5361,[56]
Kepler-1372b,,0.113,1.31155557,,,transit,3790,0.98,5677,[56]
Kepler-1373b,,0.103,1.29123275,,,transit,3630,1.22,6299,[56]
Kepler-1374b,,0.204,10.65276707,,,transit,3700,0.85,5323,[56]
Kepler-1375b,,0.155,3.3004192,,,transit,4040,1.47,6704,[56]
Kepler-1376b,,0.094,5.30880656,,,transit,2820,0.98,5659,[56]
Kepler-1377b,,0.112,0.74092842,,,transit,3320,0.86,5218,[56]
Kepler-1378b,,0.196,11.95398936,,,transit,1830,0.7,4407,[56]
Kepler-1379b,,0.116,0.88184115,,,transit,3100,0.83,5188,[56]
Kepler-1380b,,0.128,10.3108245,,,transit,3940,0.96,5570,[56]
Kepler-1381b,,0.201,25.3842686,,,transit,4260,0.96,5747,[56]
Kepler-1382b,,0.168,16.3583055,,,transit,2400,1.36,6161,[56]
Kepler-1383b,,0.126,13.9093583,,,transit,3130,1.26,6370,[56]
Kepler-1384b,,0.173,15.36262753,,,transit,2020,0.78,4919,[56]
Kepler-1385b,,0.076,2.88879862,,,transit,1720,1.15,5732,[56]
Kepler-1386b,,0.111,6.73972381,,,transit,2730,1.02,5733,[56]
Kepler-1387b,,0.083,2.27952666,,,transit,1600,0.82,5046,[56]
Kepler-1388b,,0.231,12.2854603,,,transit,1600,0.63,4098,[56]
Kepler-1388c,,0.202,5.53608151,,,transit,1600,0.63,4098,[56]
Kepler-1388d,,0.255,20.9568158,,,transit,1600,0.63,4098,[56]
Kepler-1388e,,0.219,37.6327084,,,transit,1600,0.63,4098,[56]
Kepler-1389b,,0.158,99.2530951,,,transit,1700,0.81,5078,[56]
Kepler-1390b,,0.105,6.48021673,,,transit,2500,0.98,5753,[56]
Kepler-1391b,,0.15,54.4092333,,,transit,2350,1.03,5840,[56]
Kepler-1392b,,0.175,15.1410397,,,transit,3640,0.88,5479,[56]
Kepler-1393b,,0.071,2.44357812,,,transit,1510,0.95,5697,[56]
Kepler-1394b,,0.124,3.93766373,,,transit,2700,1.64,6481,[56]
Kepler-1395b,,0.071,3.78470649,,,transit,1650,1.17,6138,[56]
Kepler-1396b,,0.185,18.2206421,,,transit,4030,1.18,6195,[56]
Kepler-1397b,,0.153,47.449955,,,transit,2500,1.09,6026,[56]
Kepler-1398b,,0.08,2.78815679,,,transit,2590,1.13,6126,[56]
Kepler-1398c,,0.092,4.13827595,,,transit,2590,1.13,6126,[56]
Kepler-1399b,,0.112,1.63865306,,,transit,4100,0.97,5735,[56]
Kepler-1400b,,0.145,9.06689421,,,transit,2870,0.83,5044,[56]
Kepler-1401b,,0.15,11.20066445,,,transit,4050,1.07,5964,[56]
Kepler-1402b,,0.068,2.03387914,,,transit,2220,0.9,5416,[56]
Kepler-1403b,,0.191,5.19492202,,,transit,5870,1.11,6060,[56]
Kepler-1404b,,0.179,15.9314739,,,transit,3090,0.84,5261,[56]
Kepler-1405b,,0.353,28.2274184,,,transit,5230,1.05,5925,[56]
Kepler-1406b,,0.098,11.62905828,,,transit,1910,1.05,5892,[56]
Kepler-1407b,,0.201,20.0711504,,,transit,4160,1.1,6010,[56]
Kepler-1408b,,0.079,2.99793191,,,transit,1390,1.21,6170,[56]
Kepler-1409b,,0.093,0.76486493,,,transit,2350,0.83,5160,[56]
Kepler-1410b,,0.159,60.866168,,,transit,1200,0.63,4092,[56]Potentially habitable exoplanet[59]
Kepler-1411b,,0.252,86.1150888,,,transit,4670,0.95,5664,[56]
Kepler-1412b,,0.074,3.6146051,,,transit,2080,1.06,5880,[56]
Kepler-1413b,,0.162,13.1829642,,,transit,3790,0.84,5196,[56]
Kepler-1414b,,0.11,3.51576315,,,transit,1740,0.8,4951,[56]
Kepler-1415b,,0.115,0.63642408,,,transit,3480,0.89,5267,[56]
Kepler-1416b,,0.079,1.49514952,,,transit,2630,1.09,6019,[56]
Kepler-1417b,,0.089,20.3505213,,,transit,2140,1.02,5839,[56]
Kepler-1418b,,0.148,22.4764425,,,transit,1630,0.77,4770,[56]
Kepler-1419b,,0.255,42.5215895,,,transit,4710,1.01,5796,[56]
Kepler-1420b,,0.114,6.69960006,,,transit,3010,0.82,5187,[56]
Kepler-1421b,,0.083,6.9131112,,,transit,2200,1.25,6335,[56]
Kepler-1422b,,0.18,18.6051942,,,transit,6790,1.15,6194,[56]
Kepler-1423b,,0.095,23.955378,,,transit,1460,0.79,4939,[56]
Kepler-1424b,,0.103,29.6091744,,,transit,2000,1.02,5838,[56]
Kepler-1425b,,0.084,14.4541302,,,transit,1630,0.97,5718,[56]
Kepler-1426b,,0.139,14.2563227,,,transit,3950,1.02,5831,[56]
Kepler-1427b,,0.098,0.96897238,,,transit,4000,1.01,5793,[56]
Kepler-1428b,,0.146,10.67607169,,,transit,2620,1.28,6184,[56]
Kepler-1429b,,0.115,4.48487493,,,transit,3770,1.05,5902,[56]
Kepler-1430b,,0.105,2.46050993,,,transit,1760,0.77,4796,[56]
Kepler-1431b,,0.131,5.86601526,,,transit,4100,1.03,5806,[56]
Kepler-1432b,,0.198,23.9109011,,,transit,5060,1.09,6031,[56]
Kepler-1433b,,0.139,4.13592271,,,transit,4330,1.14,6097,[56]
Kepler-1434b,,0.099,8.05333618,,,transit,2200,1.47,6291,[56]
Kepler-1435b,,0.077,4.45343281,,,transit,2220,1.21,6356,[56]
Kepler-1436b,,0.117,9.705716,,,transit,3720,1.06,5972,[56]
Kepler-1437b,,0.122,10.9295461,,,transit,3860,0.93,5557,[56]
Kepler-1438b,,0.084,2.31942009,,,transit,2820,0.97,5530,[56]
Kepler-1439b,,0.13,8.07392849,,,transit,700,0.46,3578,[56]
Kepler-1440b,,0.112,39.859484,,,transit,2230,0.98,5698,[56]
Kepler-1441b,,0.117,39.4419839,,,transit,2450,1,5802,[56]
Kepler-1442b,,0.351,81.4162941,,,transit,1710,1.34,6394,[56]
Kepler-1443b,,0.087,2.41811321,,,transit,1550,1.19,6289,[56]
Kepler-1444b,,0.194,33.42035034,,,transit,1100,1.03,5810,[56]
Kepler-1445b,,0.086,10.60052251,,,transit,1570,1.13,6150,[56]
Kepler-1446b,,0.073,0.68996783,,,transit,530,0.81,4865,[56]
Kepler-1447b,,0.259,56.6747285,,,transit,2840,0.97,5722,[56]
Kepler-1448b,,0.144,12.27065865,,,transit,2560,0.95,5774,[56]
Kepler-1449b,,0.15,13.2274528,,,transit,4310,1.08,5979,[56]
Kepler-1450b,,0.153,54.5094166,,,transit,1600,0.71,4524,[56]
Kepler-1451b,,0.299,35.622233,,,transit,3780,1,5782,[56]
Kepler-1452b,,0.241,42.913751,,,transit,3180,1.41,6101,[56]
Kepler-1453b,,0.238,47.1611696,,,transit,4190,0.97,5665,[56]
Kepler-1454b,,0.168,47.0319479,,,transit,2590,0.9,5448,[56]
Kepler-1455b,,0.193,49.276764,,,transit,1280,0.62,4075,[56]Potentially habitable exoplanet[57]
Kepler-1456b,,0.102,18.1373829,,,transit,1240,0.64,4231,[56]
Kepler-1457b,,0.178,51.1110243,,,transit,2370,1.01,5866,[56]
Kepler-1458b,,0.246,47.9872764,,,transit,2090,0.96,5653,[56]
Kepler-1459b,,0.121,62.8691611,,,transit,1420,0.78,4828,[56]
Kepler-1460b,,0.175,29.9633247,,,transit,1870,0.7,4422,[56]
Kepler-1461b,,0.181,29.3494775,,,transit,2450,0.79,4919,[56]
Kepler-1462b,,0.341,65.6488341,,,transit,4460,1,5756,[56]
Kepler-1463b,,0.166,25.15864,,,transit,4370,0.96,5679,[56]
Kepler-1464b,,0.148,31.7785901,,,transit,2260,1.02,5828,[56]
Kepler-1464c,,0.089,5.32786292,,,transit,2260,1.02,5828,[56]
Kepler-1465b,,0.158,31.8277111,,,transit,1100,0.75,4726,[56]
Kepler-1466b,,0.138,31.1750448,,,transit,2240,1.01,5884,[56]
Kepler-1467b,,0.294,47.0569043,,,transit,2900,0.86,5332,[56]
Kepler-1468b,,0.154,8.23984869,,,transit,3700,1.04,5893,[56]
Kepler-1468c,,0.103,3.54553021,,,transit,3700,1.04,5893,[56]
Kepler-1469b,,0.25,21.8635301,,,transit,4090,0.92,5507,[56]
Kepler-1470b,,0.095,16.2950903,,,transit,1860,0.8,4961,[56]
Kepler-1471b,,0.126,3.63899398,,,transit,3450,0.95,5660,
Kepler-1472b,,0.17,38.1312831,,,transit,4140,1.16,6159,
Kepler-1473b,,0.106,14.4273551,,,transit,2040,1.09,6046,
Kepler-1474b,,0.193,36.4333452,,,transit,3960,1.04,5870,
Kepler-1475b,,0.261,82.177374,,,transit,5590,1.18,6214,
Kepler-1476b,,0.149,10.35863224,,,transit,3970,0.98,5663,
Kepler-1477b,,0.105,11.55530021,,,transit,1710,0.81,5100,
Kepler-1478b,,0.154,26.0840594,,,transit,4580,1.04,5904,
Kepler-1479b,,0.163,14.53261362,,,transit,2020,0.99,5796,
Kepler-1480b,,0.149,22.12679948,,,transit,1800,0.85,5156,
Kepler-1481b,,0.11,5.94220998,,,transit,1610,0.8,4908,
Kepler-1482b,,0.09,12.25383217,,,transit,1440,0.88,5381,
Kepler-1483b,,0.136,9.5085156,,,transit,4330,1.25,6337,
Kepler-1484b,,0.188,30.4549136,,,transit,3570,0.94,5730,
Kepler-1485b,,0.131,19.9157725,,,transit,1800,1.11,6087,
Kepler-1486b,,0.207,54.6495759,,,transit,4780,1.08,5965,
Kepler-1487b,,0.19,7.31946363,,,transit,3570,1.38,6541,
Kepler-1488b,,0.166,39.8189932,,,transit,2020,1.05,5820,
Kepler-1489b,,0.158,82.294751,,,transit,2800,0.93,5655,
Kepler-1490b,,0.271,92.4362973,,,transit,3160,0.9,5515,
Kepler-1491b,,0.135,16.5861762,,,transit,4280,1,5728,
Kepler-1492b,,0.133,16.75255007,,,transit,1210,0.77,4712,
Kepler-1493b,,0.126,15.0217983,,,transit,1870,1.06,5863,
Kepler-1494b,,0.274,91.080482,,,transit,3450,0.96,5659,
Kepler-1495b,,0.262,85.273256,,,transit,4260,1.03,5831,
Kepler-1496b,,0.198,64.6588017,,,transit,4220,1.18,6182,
Kepler-1497b,,0.148,8.74199772,,,transit,3660,0.96,5675,
Kepler-1498b,,0.119,48.051405,,,transit,2400,0.86,5256,
Kepler-1499b,,0.106,44.2008,,,transit,1000,0.82,5097,
Kepler-1500b,,0.107,15.0330105,,,transit,2950,1,5845,
Kepler-1501b,,0.139,14.5564533,,,transit,2900,1.2,6229,
Kepler-1502b,,0.284,41.7083629,,,transit,5000,1.44,6666,
Kepler-1503b,,0.203,96.16987,,,transit,2800,0.77,5069,
Kepler-1504b,,0.19,82.304003,,,transit,3360,0.85,5393,
Kepler-1505b,,0.083,30.8609366,,,transit,1170,0.93,5686,
Kepler-1506b,,0.118,14.0329154,,,transit,4300,0.95,5676,
Kepler-1507b,,0.075,16.0506213,,,transit,1120,0.89,5410,
Kepler-1508b,,0.119,20.7056504,,,transit,2910,1.14,6158,
Kepler-1509b,,0.165,25.4338197,,,transit,4170,1,5780,
Kepler-1510b,,0.3,84.703921,,,transit,5270,1.19,6200,
Kepler-1511b,,0.15,23.2382792,,,transit,2930,1.17,6064,
Kepler-1512b,,0.105,20.35972599,,,transit,530,0.73,4372,
Kepler-1513b,,0.755,160.8846509,,,transit,1250,0.99,5617,
Kepler-1514b,,1.055,217.8317626,,,transit,1240,1.21,6251,
Kepler-1515b,,0.852,214.3114164,,,transit,1640,1.3,6511,
Kepler-1516b,,0.156,7.25931979,,,transit,2840,1.04,5904,
Kepler-1517b,,0.871,5.54608367,,,transit,2830,1.58,7010,
Kepler-1518b,,0.272,5.11177904,,,transit,3700,1.54,6846,
Kepler-1519b,,0.63,240.7989397,,,transit,2800,0.94,5644,
Kepler-1520b,,0.515,0.65355357,,,transit,2070,0.76,4677,
Kepler-1521b,,0.223,47.14840805,,,transit,740,0.81,5042,
Kepler-1522b,,0.154,1.84788917,,,transit,2300,0.96,5706,
Kepler-1523b,,0.141,0.93875077,,,transit,2990,0.97,5708,
Kepler-1524b,,0.316,70.9674603,,,transit,1650,1.17,6179,
Kepler-1525b,,0.081,2.41660118,,,transit,1290,1.07,5748,
Kepler-1526b,,0.217,3.908632,,,transit,1880,0.73,4601,
Kepler-1527b,,0.426,160.129918,,,transit,5100,1.21,6224,
Kepler-1528b,,0.13,1.79111021,,,transit,2990,1.03,5857,
Kepler-1529b,,0.187,5.33905686,,,transit,2230,0.81,5048,
Kepler-1530b,,0.146,2.5904434,,,transit,1800,0.92,5477,
Kepler-1530c,,0.147,5.3227406,,,transit,1800,0.92,5477,
Kepler-1531b,,0.099,1.13854338,,,transit,2200,1.16,6260,
Kepler-1532b,,0.12,1.09366356,,,transit,2690,0.91,5559,
Kepler-1533b,,0.309,308.5471,,,transit,2780,1.31,6431,
Kepler-1534b,,0.169,5.71668872,,,transit,3610,0.9,5442,
Kepler-1535b,,0.227,138.9442,,,transit,2870,1.08,6021,
Kepler-1536b,,0.28,364.758031,,,transit,1310,0.71,4434,
Kepler-1537b,,0.105,1.4444538,,,transit,1640,0.81,5079,
Kepler-1538b,,0.252,175.138819,,,transit,4210,1.03,5837,
Kepler-1539b,,0.241,133.3036741,,,transit,2570,0.84,5176,
Kepler-1540b,,0.222,125.4131177,,,transit,850,0.74,4540,Potentially habitable exoplanet
Kepler-1541b,,0.103,8.40691199,,,transit,1350,0.86,5282,
Kepler-1542b,,0.068,3.95116882,,,transit,1100,0.94,5564,
Kepler-1542c,,0.058,2.89223021,,,transit,1100,0.94,5564,
Kepler-1542d,,0.078,5.99273738,,,transit,1100,0.94,5564,
Kepler-1542e,,0.068,5.10115756,,,transit,1100,0.94,5564,
Kepler-1543b,,0.242,6.96710269,,,transit,3630,1.39,6561,
Kepler-1544b,,0.159,168.811174,,,transit,1140,0.81,4886,Potentially habitable exoplanet
Kepler-1545b,,0.241,163.692349,,,transit,2240,0.84,5201,
Kepler-1546b,,0.279,19.5974971,,,transit,3240,0.95,5623,
Kepler-1547b,,0.08,0.69297968,,,transit,2170,1.12,6078,
Kepler-1548b,,0.236,124.828679,,,transit,3800,0.99,5706,
Kepler-1549b,,0.229,214.886545,,,transit,2580,0.88,5324,
Kepler-1550b,,0.269,225.582809,,,transit,3920,1.07,5991,
Kepler-1551b,,0.237,24.4973698,,,transit,5100,1.14,6136,
Kepler-1552b,,0.22,184.771853,,,transit,2020,0.85,5202,
Kepler-1553b,,0.103,4.24261881,,,transit,2350,0.85,5288,
Kepler-1554b,,0.259,198.088774,,,transit,3200,0.84,5297,
Kepler-1555b,,0.144,8.10501635,,,transit,4510,1.04,5866,
Kepler-1556b,,0.175,8.82713457,,,transit,3500,0.97,5608,
Kepler-1557b,,0.136,3.74032496,,,transit,5000,1.11,6099,
Kepler-1558b,,0.061,3.50470358,,,transit,1120,0.83,5101,
Kepler-1559b,,0.064,0.97191543,,,transit,1900,0.86,5316,
Kepler-1560b,,0.079,3.03195744,,,transit,1730,1.02,5815,
Kepler-1561b,,0.097,1.00520701,,,transit,3240,1.07,5957,
Kepler-1562b,,0.317,64.2737752,,,transit,4290,1.02,5760,
Kepler-1563b,,0.067,3.43276598,,,transit,1780,1,5765,
Kepler-1564b,,0.131,18.0540381,,,transit,2840,0.93,5528,
Kepler-1565b,,0.106,1.53818844,,,transit,2140,0.76,4940,
Kepler-1566b,,0.07,0.53991524,,,transit,1670,0.84,5254,
Kepler-1567b,,0.244,153.979578,,,transit,4000,0.95,5655,
Kepler-1568b,,0.116,20.925392,,,transit,2880,1.09,5956,
Kepler-1569b,,0.15,5.79180156,,,transit,3400,1.25,6319,
Kepler-1570b,,0.095,26.548955,,,transit,1510,0.92,5550,
Kepler-1571b,,0.136,3.38555488,,,transit,2620,1.23,6297,
Kepler-1572b,,0.084,5.49548621,,,transit,2000,0.97,5618,
Kepler-1573b,,0.107,2.6157554,,,transit,3800,1.01,5808,
Kepler-1574b,,0.115,6.9424334,,,transit,4160,1.06,5892,
Kepler-1575b,,0.117,2.55314213,,,transit,3800,0.95,5667,
Kepler-1576b,,0.093,6.98471973,,,transit,1760,1.05,5876,
Kepler-1577b,,0.101,6.30560247,,,transit,1770,0.78,4862,
Kepler-1578b,,0.093,1.45088691,,,transit,3310,0.9,5545,
Kepler-1579b,,0.075,0.84990789,,,transit,1520,0.75,4584,
Kepler-1580b,,0.188,56.6449279,,,transit,2840,1.47,6228,
Kepler-1581b,,0.071,6.28385491,,,transit,1440,1.12,6022,
Kepler-1582b,,0.133,4.83817712,,,transit,370,0.28,3208,
Kepler-1583b,,0.054,9.32807355,,,transit,1160,0.94,5645,
Kepler-1584b,,0.144,13.3997099,,,transit,4320,1.1,6069,
Kepler-1585b,,0.16,3.5827463,,,transit,4140,0.94,5538,
Kepler-1586b,,0.136,15.6049212,,,transit,2820,1.45,6681,
Kepler-1587b,,0.119,9.4060467,,,transit,2960,1.08,5933,
Kepler-1588b,,0.068,7.84931739,,,transit,2150,0.96,5817,
Kepler-1589b,,0.097,0.99166527,,,transit,4620,1.18,6166,
Kepler-1590b,,0.102,7.61760804,,,transit,2900,1.11,6053,
Kepler-1591b,,0.113,8.18504949,,,transit,3600,1.1,6082,
