Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-682b,,0.658,12.61190667,,,transit,3100,0.92,5559,[56]
Kepler-683b,,0.176,2.53918318,,,transit,3180,0.96,5703,[56]
Kepler-684b,,0.3,6.77030201,,,transit,3480,0.89,5493,[56]
Kepler-685b,,0.944,1.6255222,,,transit,3730,1.11,5963,[56]
Kepler-686b,,1.084,1.59474546,,,transit,3920,0.94,5649,[56]
Kepler-687b,,0.314,20.50586978,,,transit,2050,0.77,4841,[56]
Kepler-688b,,0.871,3.89593684,,,transit,4070,0.98,5715,[56]
Kepler-689b,,0.258,22.36656079,,,transit,3410,0.91,5518,[56]
Kepler-690b,,0.531,7.74809437,,,transit,5390,1.11,5913,[56]
Kepler-691b,,0.186,8.114379,,,transit,780,0.53,3715,[56]
Kepler-692b,,0.277,21.81293494,,,transit,3300,0.9,5440,[56]
Kepler-693b,,0.908,15.37563332,,,transit,3270,0.76,4881,[56]
Kepler-694b,,0.25,6.36584161,,,transit,3340,0.97,5700,[56]
Kepler-695b,,0.822,3.04033042,,,transit,2000,0.84,5181,[56]
Kepler-696b,,0.548,4.19042557,,,transit,4190,1.06,5903,[56]
Kepler-697b,,0.368,3.70987065,,,transit,3560,0.92,5513,[56]
Kepler-698b,,0.328,16.32976218,,,transit,3700,0.94,5612,[56]
Kepler-699b,,1.259,27.80756293,,,transit,2900,0.81,5330,[56]
Kepler-700b,,0.534,80.8720639,,,transit,3460,0.98,5692,[56]
Kepler-701b,,0.253,10.35533177,,,transit,2460,0.88,5343,[56]
Kepler-702b,,0.818,10.52629406,,,transit,2910,0.9,5419,[56]
Kepler-703b,,0.732,4.58352176,,,transit,4830,1.18,6185,[56]
Kepler-704b,,0.233,3.76182115,,,transit,3440,0.97,5616,[56]
Kepler-705b,,0.188,56.0560538,,,transit,820,0.53,3722,[56]Potentially habitable exoplanet[57]
Kepler-706b,,1.175,41.40831347,,,transit,2600,0.87,5394,[56]
Kepler-707b,,0.119,2.23749275,,,transit,2040,0.8,5099,[56]
Kepler-708b,,0.261,3.16789194,,,transit,4050,0.97,5692,[56]
Kepler-709b,,0.261,16.08524954,,,transit,2180,0.8,5071,[56]
Kepler-710b,,0.168,4.34728553,,,transit,3000,0.94,5611,[56]
Kepler-711b,,0.304,23.58914398,,,transit,2170,0.84,5222,[56]
Kepler-712b,,0.304,21.02247699,,,transit,3080,0.84,5148,[56]
Kepler-712c,,0.433,226.89047,,,transit,3080,0.84,5148,[56]
Kepler-713b,,0.221,7.411141,,,transit,3270,0.98,5785,[56]
Kepler-714b,,0.863,8.09888799,,,transit,4800,1.09,5995,[56]
Kepler-715b,,0.335,10.00652995,,,transit,3960,1.04,5871,[56]
Kepler-716b,,0.259,10.37168453,,,transit,2200,0.83,5099,[56]
Kepler-717b,,0.216,4.40840023,,,transit,3670,0.88,5485,[56]
Kepler-718b,,1.477,2.0523499,,,transit,5000,1.18,6191,[56]
Kepler-719b,,0.76,5.00731778,,,transit,4650,0.99,5777,[56]
Kepler-720b,,0.75,4.70832654,,,transit,2900,0.95,5618,[56]
Kepler-721b,,0.236,5.39202539,,,transit,2770,0.82,5075,[56]
Kepler-722b,,0.235,4.09357325,,,transit,4480,1.03,5863,[56]
Kepler-722c,,0.252,105.144749,,,transit,4480,1.03,5863,[56]
Kepler-723b,,1.088,4.08227507,,,transit,3150,0.92,5539,[56]
Kepler-724b,,0.294,3.31494634,,,transit,2810,0.9,5437,[56]
Kepler-725b,,0.948,39.64317811,,,transit,2540,0.88,5363,[56]
Kepler-726b,,0.291,21.80451088,,,transit,2730,0.88,5452,[56]
Kepler-727b,,0.226,5.15448442,,,transit,2910,0.89,5441,[56]
Kepler-728b,,0.298,5.74347727,,,transit,4030,0.95,5660,[56]
Kepler-729b,,0.319,3.16635371,,,transit,4150,0.94,5633,[56]
Kepler-730b,,0.822,6.49168426,,,transit,4750,1,5726,[56]
Kepler-731b,,1.238,3.85560355,,,transit,4280,1.03,5849,[56]
Kepler-732b,,0.194,9.46781405,,,transit,490,0.49,3631,[56]
Kepler-732c,,0.113,0.89304124,,,transit,490,0.49,3631,[56]
Kepler-733b,,0.252,20.83424726,,,transit,3200,0.9,5418,[56]
Kepler-734b,,0.318,6.10485286,,,transit,1800,0.85,5326,[56]
Kepler-735b,,0.263,11.51516988,,,transit,2600,0.85,5107,[56]
Kepler-736b,,0.261,3.60147201,,,transit,3280,0.86,5217,[56]
Kepler-737b,,0.175,28.59915399,,,transit,640,0.51,3813,[56]
Kepler-738b,,0.223,24.58721573,,,transit,3240,0.86,5327,[56]
Kepler-739b,,0.296,12.53248465,,,transit,3680,0.93,5601,[56]
Kepler-740b,,0.408,3.58410122,,,transit,4120,0.91,5438,[56]
Kepler-741b,,0.265,7.03902374,,,transit,5000,1.16,6129,[56]
Kepler-742b,,0.289,8.36086824,,,transit,1630,0.76,4642,[56]
Kepler-743b,,0.108,3.17926292,,,transit,840,0.94,5486,[56]
Kepler-744b,,0.145,12.06222443,,,transit,1590,0.94,5594,[56]
Kepler-745b,,0.193,9.93143556,,,transit,3910,1.04,5849,[56]
Kepler-746b,,0.099,3.48159251,,,transit,1500,0.91,5418,[56]
Kepler-747b,,0.47,35.61760587,,,transit,2790,0.82,5096,[56]
Kepler-748b,,0.225,7.40742793,,,transit,4150,1.07,5934,[56]
Kepler-749b,,0.277,17.31716585,,,transit,2460,0.79,5009,[56]
Kepler-750b,,0.274,9.42887179,,,transit,3850,1.15,6160,[56]
Kepler-750c,,0.145,4.08899022,,,transit,3850,1.15,6160,[56]
Kepler-751b,,0.219,17.44490636,,,transit,2440,0.87,5387,[56]
Kepler-752b,,0.251,18.82747265,,,transit,3510,0.87,5373,[56]
Kepler-753b,,0.17,5.74772501,,,transit,910,0.68,4346,[56]
Kepler-754b,,0.179,14.5596237,,,transit,3890,1.06,5935,[56]
Kepler-755b,,0.157,1.26909037,,,transit,1200,0.82,5043,[56]
Kepler-755c,,0.112,2.85313364,,,transit,1200,0.82,5043,[56]
Kepler-756b,,0.1,1.22486632,,,transit,2780,0.82,5282,[56]
Kepler-757b,,0.121,1.02267882,,,transit,3310,1.08,6014,[56]
Kepler-758b,,0.221,12.1097104,,,transit,4410,1.16,6228,[56]
Kepler-758c,,0.151,4.75793986,,,transit,4410,1.16,6228,[56]
Kepler-758d,,0.189,20.4966197,,,transit,4410,1.16,6228,[56]
Kepler-758e,,0.136,8.1934719,,,transit,4410,1.16,6228,[56]
Kepler-759b,,0.203,41.805985,,,transit,2910,1.04,5860,[56]
Kepler-760b,,0.273,8.70419416,,,transit,2550,0.89,5322,[56]
Kepler-760c,,0.132,2.46697439,,,transit,2550,0.89,5322,[56]
Kepler-761b,,0.181,10.12804789,,,transit,2830,0.95,5706,[56]
Kepler-762b,,1.131,3.7705521,,,transit,4780,1.06,5944,[56]
Kepler-763b,,0.109,1.19655156,,,transit,2940,0.84,5166,[56]
Kepler-764b,,0.146,7.33683936,,,transit,3300,0.92,5557,[56]
Kepler-765b,,0.217,27.6655226,,,transit,3300,1.05,5901,[56]
Kepler-766b,,0.302,6.10027804,,,transit,5260,1.1,5992,[56]
Kepler-767b,,0.592,161.5280101,,,transit,3860,0.96,5694,[56]
Kepler-768b,,0.16,11.3910025,,,transit,2590,0.82,5108,[56]
Kepler-769b,,0.261,7.42608998,,,transit,4440,1.19,6186,[56]
Kepler-769c,,0.16,15.9870174,,,transit,4440,1.19,6186,[56]
Kepler-770b,,0.205,18.92540274,,,transit,2480,0.94,5598,[56]
Kepler-770c,,0.107,1.47532231,,,transit,2480,0.94,5598,[56]
Kepler-770d,,0.125,4.15244722,,,transit,2480,0.94,5598,[56]
Kepler-771b,,0.162,8.73485836,,,transit,3300,1.03,5906,[56]
Kepler-772b,,0.162,12.99207337,,,transit,2250,0.98,5714,[56]
Kepler-773b,,0.128,3.74910006,,,transit,1720,1.04,5850,[56]
Kepler-774b,,0.283,11.0895723,,,transit,3900,1.57,6403,[56]
Kepler-775b,,0.106,0.97486893,,,transit,1300,0.92,5468,[56]
Kepler-776b,,0.114,4.89718784,,,transit,2370,0.83,5071,[56]
Kepler-777b,,0.131,5.72812599,,,transit,1250,0.58,4043,[56]
Kepler-778b,,0.15,3.75574426,,,transit,2930,0.81,5102,[56]
Kepler-779b,,0.082,7.09714223,,,transit,730,0.46,3804,[56]
Kepler-780b,,0.079,0.67737516,,,transit,1700,1.01,5769,[56]
Kepler-781b,,0.258,13.2140732,,,transit,3380,0.81,5162,[56]
Kepler-782b,,0.286,158.6853308,,,transit,1340,0.98,5867,[56]
Kepler-783b,,0.07,4.29264638,,,transit,1770,0.93,5521,[56]
Kepler-784b,,0.141,31.5922646,,,transit,1970,1,5674,[56]
Kepler-785b,,1.162,1.97376093,,,transit,2170,0.77,4739,[56]
Kepler-786b,,0.217,53.5293487,,,transit,1670,0.81,4838,[56]
Kepler-787b,,0.114,0.9283105,,,transit,1530,0.65,4248,[56]
Kepler-788b,,0.227,8.39846269,,,transit,5380,1.16,6159,[56]
Kepler-789b,,0.189,8.63847725,,,transit,2980,1.01,5870,[56]
Kepler-790b,,0.194,13.73469807,,,transit,2370,0.84,5208,[56]
Kepler-791b,,0.272,14.5539759,,,transit,4720,1.3,6383,[56]
Kepler-792b,,0.175,11.30119217,,,transit,3930,1.09,5971,[56]
